Word                Fre/%
is                1.4048095534923395
he                1.2086217643778092
it                1.1600669269380925
was                1.1285718972474656
we                1.0268691972649726
eu                1.0065286571962861
be                0.9802827991207637
said                0.9258226436140546
with                0.919261179095174
have                0.9061382500574129
i                    0.79590564614718
will                0.7867195958137856
are                0.6771431383484794
but                0.6581148912437256
has                0.6561464518880614
his                0.6069354679964568
leave                0.5911879531511433
would                0.5728158524982776
our                0.5577244841048522
people                0.534103211836882
vote                0.5144188182802402
her                0.5131065253764641
not                0.5104819395689117
they                0.5072012073094715
who                0.4566779305140907
remain                0.4520849053508743
she                0.45142875889898626
brexit                0.42977592598668024
referendum                0.4264951937272399
you                0.4107476788819265
britain                0.4081230930743742
their                0.4054985072668219
had                0.3864702601620682
if                0.3851579672582921
all                0.3726911846724189
been                0.36875430596109054
mr                0.3589121091827696
cameron                0.34382074078934416
uk                0.3326662511072471
campaign                0.3005150749647322
more                0.29985892851284407
country                0.29789048915717986
us                0.29657819625340376
last                0.2913290246382993
were                0.29001673173452314
there                0.2808306814080903
one                0.27623765624487384
can                0.27492536334109774
what                0.2650831665627768
sun                0.2585217020438962
mp                0.25196023752501556
no                0.24146189429480658
cox                0.23161969751648567
european                0.22833896525704536
now                0.2191529149306125
could                0.21849676847872446
two                0.21784062202683638
voters                0.21784062202683638
think                0.21718447557494835
just                0.21455988976739607
per                0.21324759686361994
which                0.21193530395984383
david                0.2093107181522916
time                0.2073422787966274
cent                0.20668613234473937
labour                0.20471769298907516
minister                0.2040615465371871
when                0.19815622847019454
british                0.1968439355664184
pm                0.19356320330697813
its                0.19093861749942587
get                0.18962632459564974
today                0.18568944588432137
told                0.18568944588432137
london                0.18306486007676911
year                0.181752567172993
europe                0.17847183491355273
because                0.17715954200977657
want                0.17256651684656013
him                0.17125422394278403
first                0.17059807749089598
immigration                0.1686296381352318
union                0.16797349168334372
make                0.16731734523145567
your                0.16534890587579149
leader                0.16206817361635117
night                0.15944358780879891
should                0.15878744135691086
very                0.15616285554935863
being                0.15550670909747055
than                0.15550670909747055
added                0.15288212328991832
prime                0.15288212328991832
result                0.1515698303861422
my                0.15091368393425414
before                0.14960139103047798
former                0.14894524457858993
some                0.14894524457858993
party                0.14828909812670188
right                0.14566451231914965
stay                0.1443522194153735
how                0.14369607296348544
them                0.14369607296348544
day                0.14238378005970934
call                0.13910304780026903
years                0.13910304780026903
only                0.13844690134838095
johnson                0.13844690134838095
tory                0.1377907548964929
take                0.13713460844460484
world                0.13647846199271677
news                0.13516616908894066
saying                0.13451002263705258
going                0.13319772973327648
go                0.13319772973327648
like                0.1325415832813884
yesterday                0.13188543682950032
against                0.13057314392572422
boris                0.12991699747383617
made                0.12991699747383617
mps                0.1292608510219481
while                0.1226993865030675
other                0.12204324005117943
co                0.12138709359929135
gove                0.12007480069551524
where                0.11941865424362717
new                0.11941865424362717
brussels                0.11941865424362717
decision                0.11613792198418688
most                0.1154817755322988
morning                0.1154817755322988
say                0.11351333617663467
